   0 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 0.00036657  	 Conifer: 0.0058654 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
   1 CSIM: 1 : 0.070049 	 XGBOOST: 1 : 0.0054891  	 Conifer: 0.048496 : 0.070049 	 FPGA: 1 : 0.070049 	 Target: 0 
   2 CSIM: 1 : 00.99632 	 XGBOOST: 1 : 00.99932  	 Conifer: 00.99462 : 00.99632 	 FPGA: 1 : 00.99632 	 Target: 1 
   3 CSIM: 1 : 00.99486 	 XGBOOST: 1 : 00.99859  	 Conifer: 000.9926 : 00.99486 	 FPGA: 1 : 00.99486 	 Target: 1 
   4 CSIM: 1 : 00.99409 	 XGBOOST: 1 : 00.99938  	 Conifer: 00.99136 : 00.99409 	 FPGA: 1 : 00.99409 	 Target: 1 
   5 CSIM: 1 : 00.99044 	 XGBOOST: 1 : 00.99828  	 Conifer: 00.98604 : 00.99044 	 FPGA: 1 : 00.99044 	 Target: 1 
   6 CSIM: 1 : 0.037609 	 XGBOOST: 1 : 0.012005  	 Conifer: 0.026759 : 0.037609 	 FPGA: 1 : 0.037609 	 Target: 0 
   7 CSIM: 1 : 0.025565 	 XGBOOST: 1 : 0.0026147  	 Conifer: 0.017442 : 0.025565 	 FPGA: 1 : 0.025565 	 Target: 0 
   8 CSIM: 1 : 00.96691 	 XGBOOST: 1 : 00.99711  	 Conifer: 00.95431 : 00.96691 	 FPGA: 1 : 00.96691 	 Target: 1 
   9 CSIM: 1 : 00.98967 	 XGBOOST: 1 : 00.99906  	 Conifer: 00.98538 : 00.98967 	 FPGA: 1 : 00.98967 	 Target: 0 
  10 CSIM: 1 : 0.018689 	 XGBOOST: 1 : 0.0008745  	 Conifer: 0.012336 : 0.018689 	 FPGA: 1 : 0.018689 	 Target: 0 
  11 CSIM: 1 : 00.26284 	 XGBOOST: 1 : 0.010693  	 Conifer: 00.18713 : 00.26284 	 FPGA: 1 : 00.26284 	 Target: 1 
  12 CSIM: 1 : 00.99366 	 XGBOOST: 1 : 00.99911  	 Conifer: 00.99101 : 00.99366 	 FPGA: 1 : 00.99366 	 Target: 1 
  13 CSIM: 1 : 00.54286 	 XGBOOST: 1 : 00.66475  	 Conifer: 000.4552 : 00.54286 	 FPGA: 1 : 00.54286 	 Target: 1 
  14 CSIM: 1 : 00.97069 	 XGBOOST: 1 : 00.93704  	 Conifer: 00.95823 : 00.97069 	 FPGA: 1 : 00.97069 	 Target: 0 
  15 CSIM: 1 : 0.052619 	 XGBOOST: 1 : 0.020397  	 Conifer: 0.037047 : 0.052619 	 FPGA: 1 : 0.052619 	 Target: 0 
  16 CSIM: 1 : 00.13207 	 XGBOOST: 1 : 0.059008  	 Conifer: 0.090735 : 00.13207 	 FPGA: 1 : 00.13207 	 Target: 0 
  17 CSIM: 1 : 00.12252 	 XGBOOST: 1 : 0.028141  	 Conifer: 0.082107 : 00.12252 	 FPGA: 1 : 00.12252 	 Target: 1 
  18 CSIM: 1 : 0.0019878 	 XGBOOST: 1 : 6.7648e-05  	 Conifer: 0.0012743 : 0.0019878 	 FPGA: 1 : 0.0019878 	 Target: 0 
  19 CSIM: 1 : 00.97262 	 XGBOOST: 1 : 00.99419  	 Conifer: 00.96095 : 00.97262 	 FPGA: 1 : 00.97262 	 Target: 1 
  20 CSIM: 1 : 00.99675 	 XGBOOST: 1 : 00.99967  	 Conifer: 00.99532 : 00.99675 	 FPGA: 1 : 00.99675 	 Target: 1 
  21 CSIM: 1 : 00.44746 	 XGBOOST: 1 : 00.60089  	 Conifer: 00.35577 : 00.44746 	 FPGA: 1 : 00.44746 	 Target: 0 
  22 CSIM: 1 : 00.99162 	 XGBOOST: 1 : 00.99941  	 Conifer: 00.98813 : 00.99162 	 FPGA: 1 : 00.99162 	 Target: 1 
  23 CSIM: 1 : 00.99623 	 XGBOOST: 1 : 000.9996  	 Conifer: 00.99466 : 00.99623 	 FPGA: 1 : 00.99623 	 Target: 1 
  24 CSIM: 1 : 00.99535 	 XGBOOST: 1 : 00.99929  	 Conifer: 00.99381 : 00.99535 	 FPGA: 1 : 00.99535 	 Target: 1 
  25 CSIM: 1 : 00.99265 	 XGBOOST: 1 : 00.99885  	 Conifer: 00.98959 : 00.99265 	 FPGA: 1 : 00.99265 	 Target: 1 
  26 CSIM: 1 : 00.99271 	 XGBOOST: 1 : 00.99901  	 Conifer: 00.98983 : 00.99271 	 FPGA: 1 : 00.99271 	 Target: 1 
  27 CSIM: 1 : 00.91244 	 XGBOOST: 1 : 00.95879  	 Conifer: 00.87915 : 00.91244 	 FPGA: 1 : 00.91244 	 Target: 0 
